from,to
Platzeck,Kohlekommission
Platzeck,SPD
Pofalla,Kohlekommission
Pofalla,DB
Pofalla,CDU
Praetorius,Kohlekommission
Praetorius,HfTW
Praetorius,Agora
Tillich,Kohlekommission
Tillich,CDU
Hasselfeldt,Kohlekommission
Hasselfeldt,CSU
Hasselfeldt,DRK
Kampeter,Kohlekommission
Kampeter,BDA
Kampeter,CDU
Kapferer,Kohlekommission
Kapferer,FDP
Kapferer,BDEW
Kempf,Kohlekommission
Kempf,BDI
Nemat,Kohlekommission
Nemat,Telekom
Nemat,McKinsey
Reiche,Kohlekommission
Reiche,VKU
Reiche,CDU
Reiche,Verkehrsministerium
Roestel,Kohlekommission
Roestel,StadtentwaesserungDresden
Roestel,EnBW
Roestel,Gruene
Schweitzer,Kohlekommission
Schweitzer,FDP
Schweitzer,DIHT
Schweitzer,Alba
Grothus,Kohlekommission
Grothus,BFB
Grothus,BraunkohleBetroffene
Wodtke,Kohlekommission
Wodtke,CDU
Wodtke,GZW
Wodtke,Bergbaubeschaedigte
Herntier,Kohlekommission
Herntier,Spremberger
Kreuzberg,Kohlekommission
Kreuzberg,CDU
Priggen,Kohlekommission
Priggen,LEENRW
Priggen,Gruene
Vassiliadis,Kohlekommission
Vassiliadis,IGBCE
Scheidt,Kohlekommission
Scheidt,SPD
Scheidt,Verdi
Scheidt,Eon
Koerzell,Kohlekommission
Koerzell,SPD
Koerzell,DGB
Kaiser,Kohlekommission
Kaiser,Greenpeace
Weiger,Kohlekommission
Weiger,BUND
Weiger,RfNE
Niebert,Kohlekommission
Niebert,DNR
Niebert,NaturfreundeDE
Niebert,UniZuerich
Allmendinger,Kohlekommission
Allmendinger,WZB
Allmendinger,HumboldtUni
Allmendinger,DGfS
Schoenefeld,Kohlekommission
Schoenefeld,Arbeitsagentur
Matthes,Kohlekommission
Matthes,OekoInstitut
Schellnhuber,Kohlekommission
Schellnhuber,PotsdamInstitut
Schellnhuber,UniPotsdam
Schellnhuber,SRC
Schellnhuber,WBGU
Schellnhuber,IPCC
Niebuhr,Kohlekommission
Niebuhr,UniKiel
Wehrspohn,Kohlekommission
Wehrspohn,FraunhoferHalle
Wehrspohn,MartinLutherUni
Laemmel,Kohlekommission
Laemmel,AfWuE
Laemmel,PKM
Laemmel,CDU
Lenz,Kohlekommission
Lenz,AfWuE
Lenz,PBfnE
Lenz,CSU
Miersch,Kohlekommission
Miersch,SPD
